ID,neighbourhood_id,quarter,Score_avg
12876758,3,4,5.82
12876833,1,4,5.86
12877365,71,4,6.12
12877003,38,4,5.9
12877755,33,4,5.88
12879013,7,4,5.6
12877976,66,4,6.06
12878616,40,4,5.96
12879098,73,4,6.0
12876457,49,4,6.13
12877395,28,4,5.69
12879725,41,4,5.84
12876265,25,4,5.88
12876428,53,4,5.99
12894123,8,4,5.62
12877673,43,4,6.1
12897046,13,4,5.93
12876384,63,4,5.91
12876232,24,4,5.62
12876164,61,4,6.24
12876362,29,4,6.02
12876811,16,4,5.71
12876195,23,4,5.74
12876175,26,4,5.98
12876191,6,4,5.64
12876169,30,4,6.06
12877040,31,4,6.03
12880467,44,4,6.04
12876369,32,4,5.6
12876857,21,4,5.8
12876339,57,4,5.44
12876183,42,4,6.07
12876346,64,4,5.56
12876240,68,4,6.23
12876821,69,4,6.11
12876341,56,4,5.73
12876331,70,4,5.81
12876254,22,4,5.6
12876225,27,4,6.07
12878917,52,4,5.9
12879829,14,4,5.96
12876333,65,4,5.76
12876360,67,4,6.17
12876440,77,4,5.87
12876209,51,4,6.19
12876268,10,4,5.52
12876267,58,4,6.13
12876276,17,4,5.26
12876516,2,4,5.9
12876561,72,4,5.79
12876289,46,4,6.02
12876640,45,4,5.86
12876365,39,4,6.04
27156,18,4,5.63
12877188,12,4,5.52
12876367,59,4,6.13
12876700,54,4,6.04
12877455,4,4,5.77
12876881,19,4,5.75
12878349,76,4,5.84
12884187,35,4,5.86
12876519,15,4,5.61
12876637,75,4,5.91
12904380,5,4,5.51
12876695,34,4,5.92
12876727,20,4,5.72
12888742,62,4,5.63
12876689,11,4,5.48
12877140,50,4,5.71
12881990,55,4,5.95
12877035,48,4,5.98
12879694,60,4,6.0
12877026,74,4,5.25
12882390,9,4,5.85
12877643,37,4,5.8
12877678,36,4,6.01
12878375,47,4,5.91
12938772,68,1,6.06
13140855,46,1,6.02
12976707,49,1,6.03
13222722,77,1,5.57
13223672,28,1,5.69
13239074,42,1,6.07
13010320,23,1,5.64
13249036,24,1,5.74
12961516,44,1,6.0
12938493,71,1,5.89
13010193,70,1,5.75
12938313,16,1,5.65
12938782,72,1,5.61
12941763,66,1,5.77
12938456,31,1,5.89
12976838,7,1,5.57
12938324,32,1,5.63
12955086,67,1,6.06
12950981,15,1,5.38
12939066,43,1,6.02
12939059,27,1,5.93
12986014,11,1,5.6
12942208,38,1,5.97
12939149,56,1,5.61
12963609,25,1,5.81
12983765,33,1,5.65
13033546,3,1,5.8
12938630,61,1,5.97
13027741,53,1,5.99
12938947,75,1,5.85
12938869,54,1,6.15
12996757,4,1,5.75
12939112,2,1,5.75
12940789,69,1,6.04
12989036,8,1,5.53
13032691,63,1,5.9
12939980,51,1,5.8
12947687,45,1,5.97
13005244,19,1,5.47
13078152,73,1,5.9
13074653,22,1,5.63
13123755,29,1,5.86
13068614,41,1,5.62
13047563,6,1,5.46
13081104,35,1,5.67
12940135,13,1,5.62
13021010,40,1,6.1
12938879,5,1,5.71
12969087,64,1,5.51
12942849,60,1,5.68
13004705,14,1,5.88
13052319,30,1,5.97
12938378,12,1,5.53
12940660,48,1,5.99
12941482,26,1,5.61
12938325,17,1,5.43
12940914,36,1,5.62
12940477,58,1,5.74
12938511,1,1,5.73
12939199,55,1,6.02
12938758,47,1,6.14
12939198,39,1,5.76
12938447,10,1,5.45
12938541,20,1,5.75
12938451,37,1,6.15
12946480,18,1,5.66
12938499,62,1,6.07
12939474,65,1,5.75
12938729,21,1,5.76
12938814,34,1,5.69
13224789,50,1,5.93
12944411,74,1,5.83
12938918,52,1,6.0
12938926,9,1,4.83
12948586,59,1,5.82
12972831,76,1,5.52
12952044,57,1,5.68
13125134,14,2,5.93
13239997,35,2,5.86
13265065,1,2,5.76
13029610,49,2,6.09
13028486,23,2,5.87
13028451,28,2,5.78
13028752,32,2,5.49
13028478,40,2,6.11
13035470,20,2,5.95
13029845,53,2,6.03
13031342,8,2,5.58
13034328,29,2,6.16
13028529,69,2,6.18
13028464,60,2,5.81
13033166,43,2,6.07
13028876,27,2,6.04
13028784,37,2,6.05
13029401,15,2,5.62
13028010,70,2,5.72
13029290,42,2,6.17
13030246,58,2,6.05
13034682,22,2,5.77
13028516,25,2,6.01
13102247,3,2,5.86
13117970,51,2,6.01
13158016,46,2,6.18
13164453,67,2,6.18
13121796,19,2,5.77
13170638,17,2,5.47
13153598,44,2,6.12
13069702,71,2,6.05
13155187,38,2,6.08
13151713,54,2,6.46
13184975,13,2,5.76
13162137,61,2,6.16
13261812,76,2,5.22
13028349,41,2,5.6
13032437,68,2,6.2
13127651,7,2,5.59
13096786,33,2,5.77
13122954,26,2,6.05
13203145,66,2,6.06
13085860,57,2,5.7
13027946,63,2,5.89
13028196,5,2,5.55
13028111,16,2,5.77
13028146,30,2,6.09
13028169,24,2,5.78
13027950,31,2,5.9
13028029,56,2,5.73
13031322,10,2,5.51
13029098,39,2,5.93
13031611,59,2,5.96
13028383,73,2,6.05
13028216,65,2,6.06
13028120,62,2,5.89
13028125,6,2,5.56
13028198,4,2,5.9
13028091,12,2,5.57
13028441,45,2,5.97
13076047,11,2,5.79
13205377,48,2,5.81
13035516,52,2,6.19
13039663,64,2,5.64
13028231,2,2,5.61
13030244,21,2,5.9
13028442,36,2,5.92
13028286,72,2,5.61
13223893,77,2,5.69
13028370,75,2,5.93
13029076,50,2,6.05
13030744,55,2,5.68
13030503,18,2,5.66
13028956,9,2,5.32
13042954,34,2,6.08
13029719,47,2,5.76
13031687,74,2,5.82
13224870,23,3,5.82
13225157,44,3,6.04
13228244,71,3,6.06
13125708,42,3,6.14
13161721,12,3,5.49
13139184,61,3,6.14
13126095,55,3,5.56
13199247,68,3,6.19
13147770,67,3,6.11
13125419,32,3,5.53
13198924,14,3,5.85
13126251,15,3,5.74
13125394,29,3,6.19
13126352,8,3,5.66
13152898,6,3,5.64
13125898,25,3,6.09
13183526,65,3,5.92
13166864,3,3,5.91
13186520,17,3,5.61
13144862,33,3,5.95
13199120,72,3,5.5
13130009,77,3,5.67
13130369,28,3,5.79
13126924,38,3,5.98
13130378,31,3,5.97
13129524,20,3,5.96
13126709,66,3,6.07
13126130,24,3,5.72
13164696,69,3,6.13
13126534,43,3,6.13
13125811,27,3,6.16
13125480,37,3,6.04
13128549,19,3,5.71
13237688,7,3,5.64
13127692,1,3,5.84
13183465,2,3,5.81
13126484,21,3,5.74
13126704,51,3,6.05
13125597,48,3,6.11
13125428,36,3,6.04
13125535,40,3,6.15
13125411,26,3,6.08
13127382,5,3,5.59
13125522,46,3,6.26
13125489,35,3,5.96
13125573,41,3,5.72
13125449,75,3,5.91
13125404,58,3,6.23
13125478,53,3,6.12
13125474,60,3,6.2
13129261,62,3,6.05
13195066,70,3,5.9
13125556,30,3,6.21
13125486,49,3,6.12
13128335,56,3,5.6
13125487,18,3,5.66
13125606,59,3,6.06
13131830,22,3,5.71
13126082,76,3,5.32
13125584,63,3,6.19
13125635,45,3,6.0
13139493,64,3,5.63
13131712,4,3,5.9
13125756,47,3,5.85
13126529,54,3,6.51
13126471,39,3,5.84
13217900,10,3,5.66
13126882,16,3,5.79
13126178,57,3,5.82
13126340,52,3,5.76
13126045,13,3,5.75
13126889,73,3,6.08
13126416,34,3,6.18
13135398,50,3,5.82
13127006,74,3,5.65
13127292,11,3,5.69
13132688,9,3,5.46
